"INFORMATION TYPE","DATE","PERIOD","WEP ($/MWh)","USEP ($/MWh)","AFP ($/MWh)","HEUR ($/MWh)","HLCU ($/MWh)","MEUC ($/MWh)","EMC Price Cap Fees ($/MWh)","EMC Price Adj Fees ($/MWh)","PSO Fees ($/MWh)"
"WEP","15 Oct 2018","1","102.89","101.98","0.41","-0.23","0.00","0.20","0.3016","0.0000","0.2266"
"WEP","15 Oct 2018","2","101.91","100.42","0.24","0.52","0.00","0.20","0.3016","0.0000","0.2266"
"WEP","15 Oct 2018","3","94.64","93.41","0.34","0.16","0.00","0.20","0.3016","0.0000","0.2266"
"WEP","15 Oct 2018","4","91.71","90.63","0.34","0.01","0.00","0.20","0.3016","0.0000","0.2266"
"WEP","15 Oct 2018","5","91.64","90.56","0.36","-0.01","0.00","0.20","0.3016","0.0000","0.2266"
"WEP","15 Oct 2018","6","91.58","90.61","0.04","0.20","0.00","0.20","0.3016","0.0000","0.2266"
"WEP","15 Oct 2018","7","91.67","90.51","0.34","0.09","0.00","0.20","0.3016","0.0000","0.2266"
"WEP","15 Oct 2018","8","91.78","90.50","0.34","0.22","0.00","0.20","0.3016","0.0000","0.2266"
"WEP","15 Oct 2018","9","91.71","90.50","0.34","0.14","0.00","0.20","0.3016","0.0000","0.2266"
"WEP","15 Oct 2018","10","91.76","90.51","0.34","0.18","0.00","0.20","0.3016","0.0000","0.2266"
"WEP","15 Oct 2018","11","91.81","90.72","0.35","0.01","0.00","0.20","0.3016","0.0000","0.2266"
"WEP","15 Oct 2018","12","95.75","94.40","0.40","0.22","0.00","0.20","0.3016","0.0000","0.2266"
"WEP","15 Oct 2018","13","102.19","100.76","0.45","0.25","0.00","0.20","0.3016","0.0000","0.2266"
"WEP","15 Oct 2018","14","105.08","104.59","0.28","-0.52","0.00","0.20","0.3016","0.0000","0.2266"
"WEP","15 Oct 2018","15","100.91","100.92","0.39","-1.13","0.00","0.20","0.3016","0.0000","0.2266"
"WEP","15 Oct 2018","16","103.60","103.23","0.39","-0.75","0.00","0.20","0.3016","0.0000","0.2266"
"WEP","15 Oct 2018","17","111.11","111.12","0.30","-1.04","0.00","0.20","0.3016","0.0000","0.2266"
"WEP","15 Oct 2018","18","111.33","111.08","0.29","-0.76","0.00","0.20","0.3016","0.0000","0.2266"
"WEP","15 Oct 2018","19","113.09","113.06","0.25","-0.95","0.00","0.20","0.3016","0.0000","0.2266"
"WEP","15 Oct 2018","20","116.24","116.23","0.20","-0.91","0.00","0.20","0.3016","0.0000","0.2266"
"WEP","15 Oct 2018","21","119.53","119.90","0.19","-1.29","0.00","0.20","0.3016","0.0000","0.2266"
"WEP","15 Oct 2018","22","122.64","123.04","0.21","-1.34","0.00","0.20","0.3016","0.0000","0.2266"
"WEP","15 Oct 2018","23","123.71","123.93","0.22","-1.17","0.00","0.20","0.3016","0.0000","0.2266"
"WEP","15 Oct 2018","24","119.64","119.90","0.17","-1.16","0.00","0.20","0.3016","0.0000","0.2266"
"WEP","15 Oct 2018","25","118.89","119.16","0.13","-1.13","0.00","0.20","0.3016","0.0000","0.2266"
"WEP","15 Oct 2018","26","119.60","119.90","0.17","-1.20","0.00","0.20","0.3016","0.0000","0.2266"
"WEP","15 Oct 2018","27","122.64","123.06","0.19","-1.34","0.00","0.20","0.3016","0.0000","0.2266"
"WEP","15 Oct 2018","28","124.34","124.44","0.22","-1.05","0.00","0.20","0.3016","0.0000","0.2266"
"WEP","15 Oct 2018","29","123.78","124.08","0.21","-1.23","0.00","0.20","0.3016","0.0000","0.2266"
"WEP","15 Oct 2018","30","122.66","123.05","0.20","-1.32","0.00","0.20","0.3016","0.0000","0.2266"
"WEP","15 Oct 2018","31","123.70","124.07","0.21","-1.31","0.00","0.20","0.3016","0.0000","0.2266"
"WEP","15 Oct 2018","32","122.66","123.40","0.20","-1.66","0.00","0.20","0.3016","0.0000","0.2266"
"WEP","15 Oct 2018","33","122.54","123.05","0.20","-1.43","0.00","0.20","0.3016","0.0000","0.2266"
"WEP","15 Oct 2018","34","120.28","121.31","0.18","-1.94","0.00","0.20","0.3016","0.0000","0.2266"
"WEP","15 Oct 2018","35","118.42","119.08","0.63","-2.01","0.00","0.20","0.3016","0.0000","0.2266"
"WEP","15 Oct 2018","36","111.19","111.56","0.69","-1.79","0.00","0.20","0.3016","0.0000","0.2266"
"WEP","15 Oct 2018","37","111.78","111.83","0.70","-1.48","0.00","0.20","0.3016","0.0000","0.2266"
"WEP","15 Oct 2018","38","113.74","113.50","0.69","-1.17","0.00","0.20","0.3016","0.0000","0.2266"
"WEP","15 Oct 2018","39","116.79","116.28","0.63","-0.85","0.00","0.20","0.3016","0.0000","0.2266"
"WEP","15 Oct 2018","40","116.55","116.40","0.50","-1.08","0.00","0.20","0.3016","0.0000","0.2266"
"WEP","15 Oct 2018","41","111.84","111.96","0.20","-1.05","0.00","0.20","0.3016","0.0000","0.2266"
"WEP","15 Oct 2018","42","122.66","123.08","0.39","-1.54","0.00","0.20","0.3016","0.0000","0.2266"
"WEP","15 Oct 2018","43","119.69","119.58","0.50","-1.12","0.00","0.20","0.3016","0.0000","0.2266"
"WEP","15 Oct 2018","44","111.45","111.19","0.49","-0.96","0.00","0.20","0.3016","0.0000","0.2266"
"WEP","15 Oct 2018","45","111.66","111.09","0.52","-0.68","0.00","0.20","0.3016","0.0000","0.2266"
"WEP","15 Oct 2018","46","110.95","110.23","0.41","-0.42","0.00","0.20","0.3016","0.0000","0.2266"
"WEP","15 Oct 2018","47","110.21","109.40","0.42","-0.34","0.00","0.20","0.3016","0.0000","0.2266"
"WEP","15 Oct 2018","48","101.70","100.96","0.41","-0.40","0.00","0.20","0.3016","0.0000","0.2266"
"WEP","16 Oct 2018","1","101.94","101.19","0.38","-0.35","0.00","0.20","0.3016","0.0000","0.2231"
"WEP","16 Oct 2018","2","96.41","95.86","0.35","-0.52","0.00","0.20","0.3016","0.0000","0.2231"
"WEP","16 Oct 2018","3","96.25","95.89","0.17","-0.54","0.00","0.20","0.3016","0.0000","0.2231"
"WEP","16 Oct 2018","4","96.63","95.79","0.17","-0.06","0.00","0.20","0.3016","0.0000","0.2231"
"WEP","16 Oct 2018","5","94.56","93.85","0.18","-0.19","0.00","0.20","0.3016","0.0000","0.2231"
"WEP","16 Oct 2018","6","91.52","90.64","0.35","-0.20","0.00","0.20","0.3016","0.0000","0.2231"
"WEP","16 Oct 2018","7","91.59","90.74","0.34","-0.21","0.00","0.20","0.3016","0.0000","0.2231"
"WEP","16 Oct 2018","8","91.34","90.57","0.34","-0.29","0.00","0.20","0.3016","0.0000","0.2231"
"WEP","16 Oct 2018","9","91.26","90.57","0.34","-0.38","0.00","0.20","0.3016","0.0000","0.2231"
"WEP","16 Oct 2018","10","91.31","90.61","0.34","-0.36","0.00","0.20","0.3016","0.0000","0.2231"
"WEP","16 Oct 2018","11","91.87","90.99","0.35","-0.20","0.00","0.20","0.3016","0.0000","0.2231"
"WEP","16 Oct 2018","12","96.52","95.79","0.32","-0.31","0.00","0.20","0.3016","0.0000","0.2231"
"WEP","16 Oct 2018","13","102.40","101.07","0.79","-0.18","0.00","0.20","0.3016","0.0000","0.2231"
"WEP","16 Oct 2018","14","105.49","105.02","0.79","-1.04","0.00","0.20","0.3016","0.0000","0.2231"
"WEP","16 Oct 2018","15","99.29","98.04","1.20","-0.68","0.00","0.20","0.3016","0.0000","0.2231"
"WEP","16 Oct 2018","16","105.24","104.88","0.47","-0.83","0.00","0.20","0.3016","0.0000","0.2231"
"WEP","16 Oct 2018","17","109.78","109.84","0.40","-1.18","0.00","0.20","0.3016","0.0000","0.2231"
"WEP","16 Oct 2018","18","119.16","119.23","0.44","-1.24","0.00","0.20","0.3016","0.0000","0.2231"
"WEP","16 Oct 2018","19","123.32","123.03","0.62","-1.05","0.00","0.20","0.3016","0.0000","0.2231"
"WEP","16 Oct 2018","20","123.25","123.04","0.58","-1.09","0.00","0.20","0.3016","0.0000","0.2231"
"WEP","16 Oct 2018","21","123.64","124.08","0.32","-1.48","0.00","0.20","0.3016","0.0000","0.2231"
"WEP","16 Oct 2018","22","124.79","125.14","0.30","-1.37","0.00","0.20","0.3016","0.0000","0.2231"
"WEP","16 Oct 2018","23","127.26","127.74","0.34","-1.55","0.00","0.20","0.3016","0.0000","0.2231"
"WEP","16 Oct 2018","24","120.16","120.79","0.24","-1.59","0.00","0.20","0.3016","0.0000","0.2231"
"WEP","16 Oct 2018","25","118.08","118.53","0.21","-1.39","0.00","0.20","0.3016","0.0000","0.2231"
"WEP","16 Oct 2018","26","118.94","119.54","0.22","-1.54","0.00","0.20","0.3016","0.0000","0.2231"
"WEP","16 Oct 2018","27","122.87","123.69","0.29","-1.84","0.00","0.20","0.3016","0.0000","0.2231"
"WEP","16 Oct 2018","28","127.87","128.14","0.42","-1.41","0.00","0.20","0.3016","0.0000","0.2231"
"WEP","16 Oct 2018","29","128.05","128.14","0.42","-1.24","0.00","0.20","0.3016","0.0000","0.2231"
"WEP","16 Oct 2018","30","126.28","126.12","0.33","-0.89","0.00","0.20","0.3016","0.0000","0.2231"
"WEP","16 Oct 2018","31","123.83","123.69","0.29","-0.87","0.00","0.20","0.3016","0.0000","0.2231"
"WEP","16 Oct 2018","32","121.15","120.79","0.26","-0.62","0.00","0.20","0.3016","0.0000","0.2231"
"WEP","16 Oct 2018","33","120.22","120.29","0.29","-1.08","0.00","0.20","0.3016","0.0000","0.2231"
"WEP","16 Oct 2018","34","115.10","115.48","0.22","-1.32","0.00","0.20","0.3016","0.0000","0.2231"
"WEP","16 Oct 2018","35","110.73","111.04","0.58","-1.61","0.00","0.20","0.3016","0.0000","0.2231"
"WEP","16 Oct 2018","36","107.23","106.88","0.94","-1.31","0.00","0.20","0.3016","0.0000","0.2231"
"WEP","16 Oct 2018","37","107.51","106.79","0.96","-0.97","0.00","0.20","0.3016","0.0000","0.2231"
"WEP","16 Oct 2018","38","109.28","108.65","0.95","-1.04","0.00","0.20","0.3016","0.0000","0.2231"
"WEP","16 Oct 2018","39","109.54","108.97","0.95","-1.11","0.00","0.20","0.3016","0.0000","0.2231"
"WEP","16 Oct 2018","40","110.36","109.99","0.59","-0.94","0.00","0.20","0.3016","0.0000","0.2231"
"WEP","16 Oct 2018","41","107.61","107.30","0.56","-0.98","0.00","0.20","0.3016","0.0000","0.2231"
"WEP","16 Oct 2018","42","111.03","111.40","0.39","-1.48","0.00","0.20","0.3016","0.0000","0.2231"
"WEP","16 Oct 2018","43","107.07","106.72","0.70","-1.08","0.00","0.20","0.3016","0.0000","0.2231"
"WEP","16 Oct 2018","44","102.52","102.18","0.60","-0.99","0.00","0.20","0.3016","0.0000","0.2231"
"WEP","16 Oct 2018","45","104.77","103.99","0.73","-0.67","0.00","0.20","0.3016","0.0000","0.2231"
"WEP","16 Oct 2018","46","101.40","100.67","0.61","-0.60","0.00","0.20","0.3016","0.0000","0.2231"
"WEP","16 Oct 2018","47","102.23","101.26","0.63","-0.38","0.00","0.20","0.3016","0.0000","0.2231"
"WEP","16 Oct 2018","48","96.17","95.09","0.62","-0.27","0.00","0.20","0.3016","0.0000","0.2231"
"WEP","17 Oct 2018","1","111.11","109.96","0.40","0.02","0.00","0.20","0.3016","0.0000","0.2250"
"WEP","17 Oct 2018","2","108.19","106.96","0.36","0.14","0.00","0.20","0.3016","0.0000","0.2250"
"WEP","17 Oct 2018","3","106.29","105.29","0.27","0.00","0.00","0.20","0.3016","0.0000","0.2250"
"WEP","17 Oct 2018","4","103.53","102.58","0.26","-0.04","0.00","0.20","0.3016","0.0000","0.2250"
"WEP","17 Oct 2018","5","103.37","102.41","0.29","-0.05","0.00","0.20","0.3016","0.0000","0.2250"
"WEP","17 Oct 2018","6","100.85","99.92","0.26","-0.05","0.00","0.20","0.3016","0.0000","0.2250"
"WEP","17 Oct 2018","7","99.84","98.79","0.21","0.11","0.00","0.20","0.3016","0.0000","0.2250"
"WEP","17 Oct 2018","8","99.64","98.79","0.21","-0.09","0.00","0.20","0.3016","0.0000","0.2250"
"WEP","17 Oct 2018","9","99.70","98.79","0.21","-0.03","0.00","0.20","0.3016","0.0000","0.2250"
"WEP","17 Oct 2018","10","99.57","98.79","0.20","-0.14","0.00","0.20","0.3016","0.0000","0.2250"
"WEP","17 Oct 2018","11","101.60","100.81","0.26","-0.20","0.00","0.20","0.3016","0.0000","0.2250"
"WEP","17 Oct 2018","12","104.99","104.12","0.41","-0.27","0.00","0.20","0.3016","0.0000","0.2250"
"WEP","17 Oct 2018","13","108.23","107.36","0.69","-0.55","0.00","0.20","0.3016","0.0000","0.2250"
"WEP","17 Oct 2018","14","110.40","109.85","0.69","-0.87","0.00","0.20","0.3016","0.0000","0.2250"
"WEP","17 Oct 2018","15","101.40","99.97","1.08","-0.38","0.00","0.20","0.3016","0.0000","0.2250"
"WEP","17 Oct 2018","16","105.63","104.27","1.15","-0.52","0.00","0.20","0.3016","0.0000","0.2250"
"WEP","17 Oct 2018","17","119.96","118.21","1.70","-0.68","0.00","0.20","0.3016","0.0000","0.2250"
"WEP","17 Oct 2018","18","124.40","122.98","1.10","-0.40","0.00","0.20","0.3016","0.0000","0.2250"
"WEP","17 Oct 2018","19","118.19","117.34","0.78","-0.66","0.00","0.20","0.3016","0.0000","0.2250"
"WEP","17 Oct 2018","20","119.10","118.26","0.59","-0.48","0.00","0.20","0.3016","0.0000","0.2250"
"WEP","17 Oct 2018","21","123.72","123.05","0.56","-0.62","0.00","0.20","0.3016","0.0000","0.2250"
"WEP","17 Oct 2018","22","124.73","124.08","0.35","-0.43","0.00","0.20","0.3016","0.0000","0.2250"
"WEP","17 Oct 2018","23","124.39","124.09","0.35","-0.78","0.00","0.20","0.3016","0.0000","0.2250"
"WEP","17 Oct 2018","24","120.09","120.36","0.29","-1.29","0.00","0.20","0.3016","0.0000","0.2250"
"WEP","17 Oct 2018","25","117.77","117.88","0.27","-1.10","0.00","0.20","0.3016","0.0000","0.2250"
"WEP","17 Oct 2018","26","118.38","118.28","0.26","-0.89","0.00","0.20","0.3016","0.0000","0.2250"
"WEP","17 Oct 2018","27","123.42","123.25","0.30","-0.86","0.00","0.20","0.3016","0.0000","0.2250"
"WEP","17 Oct 2018","28","124.60","124.09","0.31","-0.53","0.00","0.20","0.3016","0.0000","0.2250"
"WEP","17 Oct 2018","29","125.46","124.09","0.31","0.33","0.00","0.20","0.3016","0.0000","0.2250"
"WEP","17 Oct 2018","30","121.66","120.97","0.30","-0.34","0.00","0.20","0.3016","0.0000","0.2250"
"WEP","17 Oct 2018","31","118.22","117.87","0.25","-0.62","0.00","0.20","0.3016","0.0000","0.2250"
"WEP","17 Oct 2018","32","117.21","117.36","0.25","-1.13","0.00","0.20","0.3016","0.0000","0.2250"
"WEP","17 Oct 2018","33","116.38","116.78","0.28","-1.41","0.00","0.20","0.3016","0.0000","0.2250"
"WEP","17 Oct 2018","34","115.50","116.04","0.34","-1.60","0.00","0.20","0.3016","0.0000","0.2250"
"WEP","17 Oct 2018","35","110.91","111.24","0.39","-1.45","0.00","0.20","0.3016","0.0000","0.2250"
"WEP","17 Oct 2018","36","105.50","105.88","0.44","-1.54","0.00","0.20","0.3016","0.0000","0.2250"
"WEP","17 Oct 2018","37","106.14","106.15","0.43","-1.17","0.00","0.20","0.3016","0.0000","0.2250"
"WEP","17 Oct 2018","38","108.12","108.13","0.43","-1.17","0.00","0.20","0.3016","0.0000","0.2250"
"WEP","17 Oct 2018","39","110.17","110.03","0.42","-1.01","0.00","0.20","0.3016","0.0000","0.2250"
"WEP","17 Oct 2018","40","108.68","108.73","0.32","-1.10","0.00","0.20","0.3016","0.0000","0.2250"
"WEP","17 Oct 2018","41","105.77","105.87","0.40","-1.22","0.00","0.20","0.3016","0.0000","0.2250"
"WEP","17 Oct 2018","42","108.74","109.17","0.40","-1.56","0.00","0.20","0.3016","0.0000","0.2250"
"WEP","17 Oct 2018","43","105.96","105.82","0.40","-0.99","0.00","0.20","0.3016","0.0000","0.2250"
"WEP","17 Oct 2018","44","101.66","101.57","0.40","-1.04","0.00","0.20","0.3016","0.0000","0.2250"
"WEP","17 Oct 2018","45","101.96","101.35","0.42","-0.54","0.00","0.20","0.3016","0.0000","0.2250"
"WEP","17 Oct 2018","46","98.99","98.59","0.33","-0.66","0.00","0.20","0.3016","0.0000","0.2250"
"WEP","17 Oct 2018","47","101.50","101.15","0.34","-0.72","0.00","0.20","0.3016","0.0000","0.2250"
"WEP","17 Oct 2018","48","96.08","95.73","0.31","-0.68","0.00","0.20","0.3016","0.0000","0.2250"
"WEP","18 Oct 2018","1","111.41","110.37","0.19","0.12","0.00","0.20","0.3016","0.0000","0.2284"
"WEP","18 Oct 2018","2","111.82","110.35","0.35","0.39","0.00","0.20","0.3016","0.0000","0.2284"
"WEP","18 Oct 2018","3","107.21","105.79","0.27","0.42","0.00","0.20","0.3016","0.0000","0.2284"
"WEP","18 Oct 2018","4","105.98","104.98","0.20","0.07","0.00","0.20","0.3016","0.0000","0.2284"
"WEP","18 Oct 2018","5","103.83","102.37","0.31","0.42","0.00","0.20","0.3016","0.0000","0.2284"
"WEP","18 Oct 2018","6","103.78","102.23","0.28","0.54","0.00","0.20","0.3016","0.0000","0.2284"
"WEP","18 Oct 2018","7","100.29","98.86","0.21","0.49","0.00","0.20","0.3016","0.0000","0.2284"
"WEP","18 Oct 2018","8","95.98","94.69","0.21","0.35","0.00","0.20","0.3016","0.0000","0.2284"
"WEP","18 Oct 2018","9","96.24","94.69","0.35","0.48","0.00","0.20","0.3016","0.0000","0.2284"
"WEP","18 Oct 2018","10","96.17","94.69","0.35","0.40","0.00","0.20","0.3016","0.0000","0.2284"
"WEP","18 Oct 2018","11","100.27","98.86","0.36","0.32","0.00","0.20","0.3016","0.0000","0.2284"
"WEP","18 Oct 2018","12","103.71","102.37","0.25","0.36","0.00","0.20","0.3016","0.0000","0.2284"
"WEP","18 Oct 2018","13","106.63","105.26","0.23","0.41","0.00","0.20","0.3016","0.0000","0.2284"
"WEP","18 Oct 2018","14","107.82","107.55","0.28","-0.74","0.00","0.20","0.3016","0.0000","0.2284"
"WEP","18 Oct 2018","15","98.80","98.29","0.39","-0.61","0.00","0.20","0.3016","0.0000","0.2284"
"WEP","18 Oct 2018","16","103.24","102.79","0.38","-0.66","0.00","0.20","0.3016","0.0000","0.2284"
"WEP","18 Oct 2018","17","112.37","111.55","0.57","-0.48","0.00","0.20","0.3016","0.0000","0.2284"
"WEP","18 Oct 2018","18","120.90","120.16","0.43","-0.42","0.00","0.20","0.3016","0.0000","0.2284"
"WEP","18 Oct 2018","19","111.63","110.92","0.29","-0.31","0.00","0.20","0.3016","0.0000","0.2284"
"WEP","18 Oct 2018","20","112.19","111.47","0.24","-0.25","0.00","0.20","0.3016","0.0000","0.2284"
"WEP","18 Oct 2018","21","117.53","117.13","0.23","-0.56","0.00","0.20","0.3016","0.0000","0.2284"
"WEP","18 Oct 2018","22","120.57","120.25","0.23","-0.64","0.00","0.20","0.3016","0.0000","0.2284"
"WEP","18 Oct 2018","23","115.10","114.79","0.18","-0.60","0.00","0.20","0.3016","0.0000","0.2284"
"WEP","18 Oct 2018","24","109.97","109.65","0.17","-0.58","0.00","0.20","0.3016","0.0000","0.2284"
"WEP","18 Oct 2018","25","106.92","106.76","0.17","-0.74","0.00","0.20","0.3016","0.0000","0.2284"
"WEP","18 Oct 2018","26","110.34","110.48","0.17","-1.04","0.00","0.20","0.3016","0.0000","0.2284"
"WEP","18 Oct 2018","27","111.59","111.86","0.17","-1.17","0.00","0.20","0.3016","0.0000","0.2284"
"WEP","18 Oct 2018","28","116.02","115.93","0.17","-0.81","0.00","0.20","0.3016","0.0000","0.2284"
"WEP","18 Oct 2018","29","116.03","116.02","0.17","-0.89","0.00","0.20","0.3016","0.0000","0.2284"
"WEP","18 Oct 2018","30","113.60","113.58","0.17","-0.88","0.00","0.20","0.3016","0.0000","0.2284"
"WEP","18 Oct 2018","31","116.26","116.07","0.17","-0.71","0.00","0.20","0.3016","0.0000","0.2284"
"WEP","18 Oct 2018","32","116.11","116.01","0.17","-0.80","0.00","0.20","0.3016","0.0000","0.2284"
"WEP","18 Oct 2018","33","112.73","112.67","0.18","-0.85","0.00","0.20","0.3016","0.0000","0.2284"
"WEP","18 Oct 2018","34","107.90","107.87","0.20","-0.90","0.00","0.20","0.3016","0.0000","0.2284"
"WEP","18 Oct 2018","35","106.58","106.69","0.20","-1.04","0.00","0.20","0.3016","0.0000","0.2284"
"WEP","18 Oct 2018","36","105.35","105.45","0.26","-1.09","0.00","0.20","0.3016","0.0000","0.2284"
"WEP","18 Oct 2018","37","105.30","105.14","0.26","-0.83","0.00","0.20","0.3016","0.0000","0.2284"
"WEP","18 Oct 2018","38","106.15","106.23","0.26","-1.07","0.00","0.20","0.3016","0.0000","0.2284"
"WEP","18 Oct 2018","39","106.79","106.75","0.26","-0.95","0.00","0.20","0.3016","0.0000","0.2284"
"WEP","18 Oct 2018","40","106.90","106.67","0.20","-0.70","0.00","0.20","0.3016","0.0000","0.2284"
"WEP","18 Oct 2018","41","107.98","107.87","0.22","-0.84","0.00","0.20","0.3016","0.0000","0.2284"
"WEP","18 Oct 2018","42","123.02","123.33","0.40","-1.44","0.00","0.20","0.3016","0.0000","0.2284"
"WEP","18 Oct 2018","43","117.03","116.73","0.40","-0.83","0.00","0.20","0.3016","0.0000","0.2284"
"WEP","18 Oct 2018","44","109.55","109.20","0.24","-0.62","0.00","0.20","0.3016","0.0000","0.2284"
"WEP","18 Oct 2018","45","107.96","107.20","0.26","-0.23","0.00","0.20","0.3016","0.0000","0.2284"
"WEP","18 Oct 2018","46","105.62","105.04","0.21","-0.36","0.00","0.20","0.3016","0.0000","0.2284"
"WEP","18 Oct 2018","47","103.01","102.48","0.21","-0.41","0.00","0.20","0.3016","0.0000","0.2284"
"WEP","18 Oct 2018","48","96.55","95.61","0.25","-0.04","0.00","0.20","0.3016","0.0000","0.2284"
"WEP","19 Oct 2018","1","109.17","107.51","0.95","-0.02","0.00","0.20","0.3016","0.0000","0.2254"
"WEP","19 Oct 2018","2","106.94","105.88","0.34","-0.01","0.00","0.20","0.3016","0.0000","0.2254"
"WEP","19 Oct 2018","3","104.51","103.67","0.33","-0.22","0.00","0.20","0.3016","0.0000","0.2254"
"WEP","19 Oct 2018","4","101.65","100.84","0.27","-0.18","0.00","0.20","0.3016","0.0000","0.2254"
"WEP","19 Oct 2018","5","102.01","100.81","0.29","0.18","0.00","0.20","0.3016","0.0000","0.2254"
"WEP","19 Oct 2018","6","98.73","97.84","0.21","-0.05","0.00","0.20","0.3016","0.0000","0.2254"
"WEP","19 Oct 2018","7","95.77","94.81","0.33","-0.10","0.00","0.20","0.3016","0.0000","0.2254"
"WEP","19 Oct 2018","8","95.61","94.68","0.33","-0.13","0.00","0.20","0.3016","0.0000","0.2254"
"WEP","19 Oct 2018","9","95.80","94.68","0.33","0.06","0.00","0.20","0.3016","0.0000","0.2254"
"WEP","19 Oct 2018","10","95.57","94.68","0.33","-0.16","0.00","0.20","0.3016","0.0000","0.2254"
"WEP","19 Oct 2018","11","99.05","97.82","0.34","0.16","0.00","0.20","0.3016","0.0000","0.2254"
"WEP","19 Oct 2018","12","100.72","99.50","0.52","-0.02","0.00","0.20","0.3016","0.0000","0.2254"
"WEP","19 Oct 2018","13","105.01","103.59","1.13","-0.44","0.00","0.20","0.3016","0.0000","0.2254"
"WEP","19 Oct 2018","14","107.20","106.46","0.70","-0.69","0.00","0.20","0.3016","0.0000","0.2254"
"WEP","19 Oct 2018","15","101.40","100.32","0.39","-0.03","0.00","0.20","0.3016","0.0000","0.2254"
"WEP","19 Oct 2018","16","105.35","104.70","0.38","-0.46","0.00","0.20","0.3016","0.0000","0.2254"
"WEP","19 Oct 2018","17","110.49","110.03","0.47","-0.74","0.00","0.20","0.3016","0.0000","0.2254"
"WEP","19 Oct 2018","18","116.21","115.93","0.34","-0.79","0.00","0.20","0.3016","0.0000","0.2254"
"WEP","19 Oct 2018","19","109.48","109.14","0.26","-0.65","0.00","0.20","0.3016","0.0000","0.2254"
"WEP","19 Oct 2018","20","111.55","111.34","0.24","-0.75","0.00","0.20","0.3016","0.0000","0.2254"
"WEP","19 Oct 2018","21","118.82","119.13","0.23","-1.27","0.00","0.20","0.3016","0.0000","0.2254"
"WEP","19 Oct 2018","22","120.51","120.73","0.23","-1.18","0.00","0.20","0.3016","0.0000","0.2254"
"WEP","19 Oct 2018","23","122.31","122.53","0.26","-1.21","0.00","0.20","0.3016","0.0000","0.2254"
"WEP","19 Oct 2018","24","119.29","119.46","0.20","-1.10","0.00","0.20","0.3016","0.0000","0.2254"
"WEP","19 Oct 2018","25","117.14","117.11","0.34","-1.03","0.00","0.20","0.3016","0.0000","0.2254"
"WEP","19 Oct 2018","26","117.76","117.55","0.47","-0.98","0.00","0.20","0.3016","0.0000","0.2254"
"WEP","19 Oct 2018","27","120.56","120.75","0.33","-1.24","0.00","0.20","0.3016","0.0000","0.2254"
"WEP","19 Oct 2018","28","122.30","122.54","0.26","-1.22","0.00","0.20","0.3016","0.0000","0.2254"
"WEP","19 Oct 2018","29","122.36","122.66","0.25","-1.27","0.00","0.20","0.3016","0.0000","0.2254"
"WEP","19 Oct 2018","30","122.55","122.54","0.25","-0.97","0.00","0.20","0.3016","0.0000","0.2254"
"WEP","19 Oct 2018","31","119.88","120.28","0.19","-1.31","0.00","0.20","0.3016","0.0000","0.2254"
"WEP","19 Oct 2018","32","120.36","120.74","0.20","-1.31","0.00","0.20","0.3016","0.0000","0.2254"
"WEP","19 Oct 2018","33","119.98","120.28","0.20","-1.23","0.00","0.20","0.3016","0.0000","0.2254"
"WEP","19 Oct 2018","34","117.13","117.32","0.22","-1.14","0.00","0.20","0.3016","0.0000","0.2254"
"WEP","19 Oct 2018","35","111.02","111.41","0.23","-1.35","0.00","0.20","0.3016","0.0000","0.2254"
"WEP","19 Oct 2018","36","105.35","105.79","0.25","-1.41","0.00","0.20","0.3016","0.0000","0.2254"
"WEP","19 Oct 2018","37","106.51","106.53","0.26","-1.01","0.00","0.20","0.3016","0.0000","0.2254"
"WEP","19 Oct 2018","38","108.09","107.53","0.43","-0.60","0.00","0.20","0.3016","0.0000","0.2254"
"WEP","19 Oct 2018","39","107.72","107.60","0.42","-1.03","0.00","0.20","0.3016","0.0000","0.2254"
"WEP","19 Oct 2018","40","106.30","106.24","0.60","-1.27","0.00","0.20","0.3016","0.0000","0.2254"
"WEP","19 Oct 2018","41","109.96","109.97","0.61","-1.35","0.00","0.20","0.3016","0.0000","0.2254"
"WEP","19 Oct 2018","42","120.83","122.10","0.35","-2.35","0.00","0.20","0.3016","0.0000","0.2254"
"WEP","19 Oct 2018","43","115.10","115.28","0.60","-1.51","0.00","0.20","0.3016","0.0000","0.2254"
"WEP","19 Oct 2018","44","107.72","107.82","0.60","-1.42","0.00","0.20","0.3016","0.0000","0.2254"
"WEP","19 Oct 2018","45","106.45","106.06","0.63","-0.97","0.00","0.20","0.3016","0.0000","0.2254"
"WEP","19 Oct 2018","46","106.40","105.96","0.61","-0.89","0.00","0.20","0.3016","0.0000","0.2254"
"WEP","19 Oct 2018","47","104.30","103.21","0.41","-0.05","0.00","0.20","0.3016","0.0000","0.2254"
"WEP","19 Oct 2018","48","99.24","98.49","0.40","-0.37","0.00","0.20","0.3016","0.0000","0.2254"
"WEP","20 Oct 2018","1","111.23","110.93","0.30","-0.73","0.00","0.20","0.3016","0.0000","0.2348"
"WEP","20 Oct 2018","2","108.82","107.98","0.22","-0.11","0.00","0.20","0.3016","0.0000","0.2348"
"WEP","20 Oct 2018","3","108.13","107.14","0.33","-0.07","0.00","0.20","0.3016","0.0000","0.2348"
